uid,term,estimate,std.error,statistic,p.value,conf.low,conf.high,NRMSE
37,female,4.435107398682178,1.608709984751204,2.756934090496176,0.0058797591275295946,1.2804669106753765,7.58974788668898,0.28693897945194397
38,female,4.582374298207152,1.7025738297412387,2.6914394067149456,0.00716490824531359,1.2436698656026115,7.921078730811693,0.30302611942336843
39,female,4.741499893937483,1.611328302797231,2.9426032458477533,0.003286544208139434,1.5817256433560014,7.901274144518965,0.2876961823525923
40,female,5.042540528987051,1.710224720390143,2.9484666364995165,0.003225053981120143,1.6888336287015373,8.396247429272565,0.304953999420563
41,female,4.302216256582951,1.6407932343344105,2.622034371276616,0.008797148898385607,1.0846613097356,7.519771203430302,0.29251046376120465
42,female,4.447301071906782,1.7397810706832384,2.5562417863072047,0.010643391156071429,1.0356341761843169,7.858967967629248,0.3099320014446154
43,female,4.588326390386684,1.6436773237622475,2.791500694238677,0.00528887178971945,1.3651165237986223,7.811536256974746,0.29209621516235773
44,female,4.881652015652379,1.7479218943211563,2.7928318945557207,0.005267211584678498,1.4540219222178026,8.309282109086954,0.311231605178049
45,female,4.82382156140672,1.6513857183264036,2.9210750146824696,0.00352153556076565,1.5854957270702728,8.062147395743168,0.2934853018421983
46,female,5.021385072199165,1.7519414449181223,2.8661831631215517,0.0041915112234052155,1.5858727429318513,8.45689740146648,0.31227926360828273
47,female,5.190646921371757,1.6554549840965227,3.135480560472378,0.00173694380877682,1.9443420720242215,8.436951770719292,0.29518285933814475
48,female,5.5634283524798755,1.7621431837980683,3.157194264139555,0.001613149335069521,2.1079114324457935,9.018945272513957,0.31479318356029845
49,female,1.7231013071266956,1.4719107445038322,1.1706561104746454,0.24185588061956872,-1.1632792545393922,4.609481868792783,0.28587739853524385
50,female,1.6846371681139891,1.5572642074949228,1.081792774794435,0.27945570664850333,-1.369118752173996,4.738393088401974,0.3016559376664957
51,female,1.8933521860745914,1.474515576233095,1.2840503122466072,0.19925103910683334,-0.9981357507874931,4.784840122936676,0.2860354082647358
52,female,1.941940934051121,1.5641156226981519,1.2415584282069938,0.21452348581036743,-1.1252497655959537,5.009131633698195,0.3033856422294874
53,female,2.1608028358783615,1.4787470649448664,1.46123896851753,0.14408367774595107,-0.7389829438565068,5.06058861561323,0.2876864639335999
54,female,2.161522396112731,1.5650981490005933,1.3810778560392454,0.16738639136074393,-0.9075950124638332,5.230639804689295,0.3045078033797465
55,female,2.384932423637602,1.482202797526536,1.6090459602542373,0.107740667360509,-0.5216293225598574,5.291494169835062,0.2878900148421215
56,female,2.4916538242721202,1.5734335657439067,1.5835773931097539,0.11342447851251015,-0.5938084463129694,5.57711609485721,0.305485747952457
57,female,2.142850032044904,1.507743643174136,1.421229690966382,0.155382790301826,-0.8137973078603924,5.099497371950201,0.2929152662937539
58,female,2.1483199628404397,1.59875525114966,1.3437453677137818,0.17916052149225498,-0.9867981615339816,5.283438087214861,0.3104566361489269
59,female,2.346882787977421,1.51136331234715,1.552825034724912,0.12059965153738618,-0.6168619813653602,5.310627557320203,0.2935144687926338
60,female,2.452276073171297,1.6074419826932576,1.5255767234986148,0.12724987698362222,-0.6998758179126021,5.604427964255196,0.31349049028407727
61,female,2.6652891230460862,1.5170255839621527,1.7569177153129547,0.07906210787953974,-0.309559215997286,5.640137462089458,0.2947432978814792
62,female,2.7215602297953074,1.6094660091961894,1.6909709271552293,0.09097495750040506,-0.43456072458139605,5.877681184172011,0.31250183270633486
63,female,2.9369054564208037,1.5218399648521763,1.9298385666367222,0.05374707275384744,-0.04738310564498471,5.921194018486592,0.29583805667739105
64,female,3.1169651808850976,1.6201729973965675,1.9238471360118357,0.05449435055076783,-0.060151202303365015,6.29408156407356,0.314960283861292
65,female,3.7670780649906144,1.5961147619680112,2.3601548928385343,0.018348741746966008,0.6371358089344317,6.8970203210467975,0.28483875696304944
66,female,3.920312357360723,1.6892983577594998,2.320674935456751,0.020389706261342337,0.607640063270563,7.232984651450883,0.3008351350924187
67,female,4.009370268984584,1.5982813339941115,2.508551018965573,0.012189684521879364,0.8751801071555576,7.14356043081361,0.28568754386659495
68,female,4.291406476368606,1.695880192872714,2.530489178660218,0.011455197146403803,0.9658280972090343,7.6169848555281785,0.3018518006211481
69,female,3.7594238271098166,1.6098717632198247,2.3352318569715016,0.019615181377500474,0.6025051202631082,6.916342533956525,0.28640949288028683
70,female,3.9136848293462503,1.7039967623734629,2.296767761398183,0.021719662148652126,0.5721900616598963,7.255179597032605,0.30359002447379957
71,female,4.0822473957316,1.6149097978986973,2.527848552930557,0.01154147006982363,0.9154499233891951,7.249044868074005,0.287673216026301
72,female,4.377056323384783,1.7149069453399044,2.552357919640488,0.010762421688805332,1.0141676998230893,7.739944946946476,0.30571657799969415
73,female,4.070845061427987,1.6354231430474035,2.4891692885319476,0.012872986218421312,0.863820730763083,7.277869392092892,0.2906489624304102
74,female,4.265259431885938,1.734877661378486,2.458536141676342,0.014022184425770906,0.8632079984093242,7.667310865362552,0.30860992834621237
75,female,4.356786144678923,1.6387042949105979,2.6586774430322793,0.007898058398642575,1.1433282625161096,7.570244026841736,0.2924988093494182
76,female,4.695902973630486,1.743463280326246,2.693433826006226,0.007122295650627744,1.277016108113366,8.114789839147605,0.3106339226066089
77,female,4.077050915177119,1.6525058520055933,2.467193027019501,0.013688565986595255,0.8365285268854237,7.317573303468814,0.2939847499636844
78,female,4.274440832132029,1.7533686901356955,2.437844850418325,0.014848805565286203,0.8361297115260649,7.712751952737994,0.311993616865424
